CodiProva;NomProva;CodiResultat;NomResultat;LOINC;ProvaAnulada;Sinonims;Secció;Mètode;CENTRE COST;ACTIVITAT
2000;URIANÀLISI;1;DENSITAT;53326-5;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;2;pH;50560-2;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;3;GLUCOSA;50555-2;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;4;C. CETÒNICS;57734-6;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;5;BILIRUBINA;50551-1;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;6;UROBILINOGEN;62487-4;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;7;PROTEÏNES;57735-3;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;8;HEMATIES/HEMOGLOBINA;57751-0;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;9;LEUCÒCITS;60026-2;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
2000;URIANÀLISI;10;NITRITS;50558-6;N;Tira reactiva d'orina;ORINA/LÍQUIDS/SECREC.;Espectrofotometria;COBAS ORINES;134936
1024;FILTRAT GLOMERULAR ESTIMAT (MDRD);1;F. G. ESTIMAT (MDRD) Sèrum;33914-3;N;MDRD;BIOQUÍMICA;Càlcul;MODULAR / COBAS INTEGRA;133541
2010;SEDIMENT URINARI;1;HEMATIES;32776-7;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;2;LEUCÒCITS;60026-2;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;3;CÈL. EPIT. TUBULAR;12248-1;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;4;CÈL. EPIT. TRANSICIÓ;8249-5;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;5;CÈL. EPIT. ESCAMOSES;12258-0;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;6;CILINDRES HIALINS;25162-9;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;7;CILINDRES  ERITROCITARIS;33804-6;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;8;CILINDRES LEUCOCITARIS;33825-1;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;9;CILINDRES EPITELIALS;25157-9;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;10;CILINDRES GRANULARS;25160-3;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;11;CILINDRES GRASSOS;67813-6;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;12;CILINDRES CERIS;33862-4;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;13;MICROORGANISMES;25145-4;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
2010;SEDIMENT URINARI;14;CRISTALLS ANORMALS;49755-2;N;;ORINA/LÍQUIDS/SECREC.;Microscòpia;COBAS ORINES;130054
1081;LDH Sèrum;1;LDH Sèrum;2532-0;N;EC 1.1.1.27;BIOQUÍMICA;Cinètica enzimàtica;MODULAR / COBAS INTEGRA;125732
1051;GASOMETRIA VENOSA;1;pH/venosa;2746-6;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;2;pCO2/venosa;2021-4;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;3;pO2/venosa;2705-2;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;4;BICARBONAT/venosa;14627-4;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;5;TCO2/venosa;2027-1;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;6;EXCÈS BASE BE/venosa;1927-3;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;7;SBE/s. venosa;19237-7;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;8;BICARBONAT STD SBC/venosa;19232-8;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;9;SATURACIÓ O2/venosa;2711-0;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
1051;GASOMETRIA VENOSA;10;TO2/venosa;60841-4;N;EAB VENOS, EQUILIBRI ACID-BASE VENOS;BIOQUÍMICA;Potenciometria;RAPID POINT;108829
8199;D. MOL. SARS-CoV2 (GENS RdRP i N) Nasofaringi;1;PCR SARS-CoV2 (RdRP i N);6,2461E+13;N;;BIOLOGIA MOLECULAR;PCR en temps real;ALINITY;104157
1090;CREATINA KINASA (CK) Sèrum;1;CREATINA KINASA (CK) Sèrum;2157-6;N;Creatinfosfocinasa, CPK, CK, Creatin-cinasa;BIOQUÍMICA;Cinètica enzimàtica;MODULAR / COBAS INTEGRA;97270
130A;FERRO Sèrum;1;FERRO Sèrum;2498-4;N;Fe, sideremia;BIOQUÍMICA;Espectrofotometria visible;MODULAR / COBAS INTEGRA;96917
7100;CULTIU Orina;1;CULTIU Orina;630-4;N;Urinocultiu;MICROBIOLOGIA;Cultiu quantitatiu;MICROBIOLOGIA GENERAL;91448
5010;VSG;1;VSG (1 hora);30341-2;N;Velocitat de Sedimentació Globular;HEMATOLOGIA;Microfotometria d'infraroig;TEST ONE/ROLLER;89543
1160;FOSFAT Sèrum;1;FOSFAT Sèrum;2777-1;N;Fosfat no esterificat, Fosfat inorgànic, Fosfatèmia, P;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;83791
3069;HEMOGLOBINA GLICOSILADA Sang;1;HB GLICOSILADA (A1c) Sang;17856-6;N;Hb glicosilada, Hemoglobina A1c;BIOQUÍMICA;Cromatografia líquida alta resolució;VARIANT/D100;77806
1050;GASOMETRIA ARTERIAL;1;pH/arterial;2744-1;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;2;pCO2/arterial;2019-8;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;3;BICARBONAT/arterial;1960-4;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;4;pO2/arterial;2703-7;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;5;CO2 TOTAL/arterial;2026-3;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;6;EXCÈS BASE BE/arterial;1925-7;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;7;SBE/s. arterial;19235-1;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;8;BICARBONAT STD SBC/arterial;19230-2;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;9;SATURACIÓ O2/arterial;2708-6;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
1050;GASOMETRIA ARTERIAL;10;CONTINGUT O2/arterial;19218-7;N;;BIOQUÍMICA;Potenciometria;RAPID POINT;76867
3022;TIROXINA LLIURE (T4 LLIURE) Sèrum;1;T4 LLIURE Sèrum;3024-7;N;FT4, T4 lliure;HORMONES;Electroquimioluminescència;ELECSYS / COBAS H232;75319
4130;TRANSFERRINA Sèrum;1;TRANSFERRINA Sèrum;3034-6;N;siderofilina, TRF;BIOQUÍMICA;Immunoturbidimetria;MODULAR / COBAS INTEGRA;72449
3351;VITAMINA D (25-HIDROXI) Sèrum;1;VITAMINA D (25-HIDROXI) Sèrum;1989-3;N;25-hidroxicolecalciferol , 25-OH-D3, 25-hidroxivitamina D3, 25-OH-Vitamina D3, Calcidiol, Calcifedio;HORMONES;Electroquimioluminescència;ELECSYS / COBAS H232;70603
3510;VITAMINA B12 Sèrum;1;VITAMINA B12 Sèrum;2132-9;N;Cianocobalamina, B12;BIOQUÍMICA;Electroquimioluminescència;ELECSYS / COBAS H232;70490
6128;D-DÍMER Plasma;1;D-DÍMER Plasma;0;N;;HEMOSTÀSIA;Aglutinació làtex;CS;66286
3520;FOLAT Sèrum;1;FOLAT Sèrum;2284-8;N;Àcid fòlic, fólic séric, à. pteroilglutamic, vitamina B9;BIOQUÍMICA;Electroquimioluminescència;ELECSYS / COBAS H232;65119
130C;ÍNDEX SATURACIÓ TRANSFERRINA Sèrum;1;SATURACIÒ TRANSFERRINA Sèrum;2502-3;N;IST;BIOQUÍMICA;Càlcul;MODULAR / COBAS INTEGRA;58163
1070;LACTAT Plasma;1;LACTAT Plasma;2524-7;N;Àcid làctic;BIOQUÍMICA;Enzimàtic espectrofotometria;MODULAR / COBAS INTEGRA;55537
3057;ALBÚMINA Orina esporàdica;1;ALBÚMINA Orina esporádica;1754-1;N;;ORINA/LÍQUIDS/SECREC.;Turbidimetria;MODULAR / COBAS INTEGRA;52243
3057;ALBÚMINA Orina esporàdica;2;CREATININA Orina esporàdica;2161-8;N;;ORINA/LÍQUIDS/SECREC.;Turbidimetria;MODULAR / COBAS INTEGRA;52243
3057;ALBÚMINA Orina esporàdica;3;ALBÚM/CREATININA Orina espor.;9318-7;N;;ORINA/LÍQUIDS/SECREC.;Turbidimetria;MODULAR / COBAS INTEGRA;52243
3057;ALBÚMINA Orina esporàdica;4;TEMPS RECOLLIDA;0;N;;ORINA/LÍQUIDS/SECREC.;Turbidimetria;MODULAR / COBAS INTEGRA;52243
8188;D. MOL. SARS-CoV2 (SCREENING GEN E) Nasofaringi;1;PCR SARS-CoV2 Screening GEN E;6,2471E+13;N;;BIOLOGIA MOLECULAR;PCR;BIOL. MOLEC. GENERAL;50485
1183;COLESTEROL LDL Sèrum;1;COLESTEROL LDL Sèrum;13457-7;N;LDL, LDLc, c-LDL;BIOQUÍMICA;Enzimàtic;MODULAR / COBAS INTEGRA;49169
7102;TINCIÓ GRAM Orina;1;TINCIÓ GRAM Orina;653-6;N;;MICROBIOLOGIA;Tinció de Gram;MICROBIOLOGIA GENERAL;48541
1185;COLESTEROL HDL Sèrum;1;COLESTEROL HDL Sèrum;2085-9;N;HDL, HDLc, c-HDL;BIOQUÍMICA;Enzimàtic;MODULAR / COBAS INTEGRA;48047
4000E;PROTEÏNOGRAMA Sèrum;1;ALBÚMINA (%);13980-8;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;2;ALBÚMINA (g/dL);2862-1;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;3;ALFA-1 (%);13978-2;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;4;ALFA-1 (g/dL);2865-4;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;5;ALFA-2 (%);13981-6;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;6;ALFA-2 (g/dL);2868-8;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;7;BETA (%);13982-4;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;8;BETA (g/dL);2871-2;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;9;GAMMA (%);13983-2;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;10;GAMMA (g/dL);2874-6;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;11;QUOCIENT ALBÚMINA/GLOBULINES;44429-9;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
4000E;PROTEÏNOGRAMA Sèrum;12;COMENTARI PROTEÏNOGRAMA;49296-7;N;;IMMUNOLOGIA;Electroforesi capil·lar;CAPILLARYS;48016
1200;ALFA-AMILASA Sèrum;1;ALFA- AMILASA Sèrum;1798-8;N;Amilasa, Amilasèmia;BIOQUÍMICA;Cinètica enzimàtica;MODULAR / COBAS INTEGRA;42227
4250;ANTIGEN ESPECIFIC PROSTÀTIC (PSA) Sèrum;1;PSA Sèrum;2857-1;N;Antígen específic de la pròstata;MARCADORS TUMORALS;Electroquimioluminescència;ELECSYS / COBAS H232;41400
8219;D. MOL. SARS-CoV2 (GENS ORF1ab, N, S) Nasofaringi;1;PCR SARS-CoV2 GENS ORF1ab,N,S;6,2461E+13;N;;BIOLOGIA MOLECULAR;PCR en temps real;QUANTSTUDIOS;41377
7500;HEMOCULTIU AEROBI;1;HEMOCULTIU AEROBI;17928-3;N;Cultiu de sang;MICROBIOLOGIA;Cultiu;MICROBIOLOGIA GENERAL;40370
8005;ANTIGEN SUPERFÍCIE VIRUS HEPATITIS B Sèrum;1;ANTIGEN SUPERFÍCIE VHB Sèrum;5195-3;N;HBsAg, HBsAG, AgsHB, Antigen Austràlia de l' hepatitis B;SEROLOGIA INFECCIOSA;Electroquimioluminescència;ELECSYS / COBAS H232;39873
7501;HEMOCULTIU ANAEROBI;1;HEMOCULTIU ANAEROBI;17934-1;N;;MICROBIOLOGIA;Cultiu;MICROBIOLOGIA GENERAL;39648
1149;CALCI IÒNIC MESURAT;1;CALCI IÒNIC MESURAT;13959-2;N;;BIOQUÍMICA;Elèctrode selectiu;GEMPREMIER;38518
8060;AC. VIH Sèrum;1;AC. VIH Sèrum;56888-1;N;Ac. anti HIV, virus immunodeficiència humana;SEROLOGIA INFECCIOSA;Electroquimioluminescència;ELECSYS / COBAS H232;37312
1165;MAGNESI Sèrum;1;MAGNESI Sèrum;19123-9;N;;BIOQUÍMICA;Colorimetria;MODULAR / COBAS INTEGRA;35510
4210;ANTÍGEN CARCINOEMBRIONARI (CEA) Sèrum;1;CEA Sèrum;2039-6;N;CEA;MARCADORS TUMORALS;Electroquimioluminescència;ELECSYS / COBAS H232;34616
8050;AC. VIRUS HEPATITIS C Sèrum;1;AC. VIRUS HEPATITIS C Sèrum;13955-0;N;Anti-HCV, Anti-VHC;SEROLOGIA INFECCIOSA;Electroquimioluminescència;ELECSYS / COBAS H232;34284
5009;RECOMPTE RETICULÒCITS Sang;1;RETICULÒCITS (%);17849-1;N;;HEMATOLOGIA;Díode làser;SYSMEX;32059
5009;RECOMPTE RETICULÒCITS Sang;2;RETICULÒCITS (TOTALS);60474-4;N;;HEMATOLOGIA;Díode làser;SYSMEX;32059
5009;RECOMPTE RETICULÒCITS Sang;3;RETICULÒCITS % CORREGIT;31111-8;N;;HEMATOLOGIA;Díode làser;SYSMEX;32059
5011;HEMOGLOBINA RETICULOCITARIA Sang;1;HB RETICULOCITÀRIA Sang;42810-2;N;RET-H, H-RET;HEMATOLOGIA;Díode làser;SYSMEX;31584
3304;PARATIRINA (PTH INTACTA) Sèrum;1;PTH-INTACTA Sèrum;2731-8;N;Hormona Paratiroidea Intacta, Parathormona, PTH, PTI;HORMONES;Electroquimioluminescència;ELECSYS / COBAS H232;30016
5400;MORFOLOGIA Sang perifèrica;1;NEUTRÒFILS SEGMENTATS;32200-8;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
5400;MORFOLOGIA Sang perifèrica;2;BANDES;764-1;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
5400;MORFOLOGIA Sang perifèrica;3;EOSINÒFILS;11106-2;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
5400;MORFOLOGIA Sang perifèrica;4;BASÒFILS;11104-7;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
5400;MORFOLOGIA Sang perifèrica;5;LIMFÒCITS;737-7;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
5400;MORFOLOGIA Sang perifèrica;6;MONÒCITS;11112-0;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
5400;MORFOLOGIA Sang perifèrica;7;METAMIELÒCITS;740-1;N;;CITOLOGIA HEMATOLÒGICA;Microscòpia;HEMATOLOGIA GENERAL;29826
